0,76
1,0
10,58
11,0
100,36
101,0
110,48
111,0
1000,145
1001,0
1010,90
1011,0
1100,135
1101,0
1110,104
1111,0
10000,130
10001,0
10010,78
10011,0
10100,74
10101,0
10110,54
10111,0
11000,211
11001,0
11010,147
11011,0
11100,191
11101,0
11110,135
11111,0
100000,70
100001,0
100010,62
100011,0
100100,50
100101,0
100110,33
100111,0
101000,125
101001,0
101010,92
101011,0
101100,112
101101,0
101110,103
101111,0
110000,114
110001,0
110010,80
110011,0
110100,71
110101,0
110110,41
110111,0
111000,191
111001,0
111010,142
111011,0
111100,154
111101,0
111110,110
111111,0
1000000,53
1000001,0
1000010,25
1000011,0
1000100,42
1000101,0
1000110,24
1000111,0
1001000,107
1001001,0
1001010,89
1001011,0
1001100,136
1001101,0
1001110,90
1001111,0
1010000,83
1010001,0
1010010,54
1010011,0
1010100,54
1010101,0
1010110,46
1010111,0
1011000,149
1011001,0
1011010,103
1011011,0
1011100,176
1011101,0
1011110,106
1011111,0
1100000,35
1100001,0
1100010,32
1100011,0
1100100,20
1100101,0
1100110,16
1100111,0
1101000,68
1101001,0
1101010,61
1101011,0
1101100,91
1101101,0
1101110,44
1110000,58
1110001,0
1110010,40
1110011,0
1110100,34
1110101,0
1110110,17
1110111,0
1111000,123
1111001,0
1111010,95
1111011,0
1111100,116
1111101,0
1111110,75
10000000,32
10000001,0
10000010,25
10000011,0
10000100,24
10000101,0
10000110,16
10000111,0
10001000,71
10001001,0
10001010,34
10001011,0
10001100,60
10001101,0
10001110,49
10001111,0
10010000,53
10010001,0
10010010,37
10010011,0
10010100,38
10010101,0
10010110,25
10010111,0
10011000,100
10011001,0
10011010,63
10011011,0
10011100,94
10011101,0
10011110,76
10011111,0
10100000,46
10100001,0
10100010,27
10100011,0
10100100,30
10100101,0
10100110,18
10100111,0
10101000,75
10101001,0
10101010,47
10101011,0
10101100,62
10101110,56
10101111,0
10110000,57
10110001,0
10110010,34
10110011,0
10110100,46
10110101,0
10110110,23
10110111,0
10111000,111
10111001,0
10111010,69
10111011,0
10111100,90
10111101,0
10111110,84
10111111,0
11000000,35
11000001,0
11000010,17
11000011,0
11000100,20
11000101,0
11000110,9
11001000,67
11001001,0
11001010,47
11001011,0
11001100,60
11001101,0
11001110,53
11010000,53
11010001,0
11010010,27
11010011,0
11010100,20
11010101,0
11010110,21
11010111,0
11011000,79
11011001,0
11011010,68
11011011,0
11011100,84
11011101,0
11011110,53
11100000,23
11100001,0
11100010,13
11100100,14
11100110,7
11101000,45
11101001,0
11101010,26
11101011,0
11101100,51
11101101,0
11101110,31
11101111,0
11110000,25
11110001,0
11110010,20
11110100,15
11110101,0
11110110,19
11111000,46
11111001,0
11111010,34
11111011,0
11111100,68
11111101,0
11111110,43
11111111,0
100000000,84
100000001,0
100000010,62
100000011,0
100000100,58
100000101,0
100000110,50
100000111,0
100001000,165
100001001,0
100001010,114
100001011,0
100001100,148
100001101,0
100001110,100
100001111,0
100010000,115
100010001,0
100010010,91
100010011,0
100010100,82
100010101,0
100010110,46
100010111,0
100011000,198
100011001,0
100011010,137
100011011,0
100011100,228
